List File,16.lst
Start Time,2017-05-15  16:42:05
Sampling Time,51 sec

Count,722
Particles / ml,32775

Efficiency,8.5%
PPUI,1.81

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),148.20,19.81,457.55,57.32,38.67
Aspect Ratio,0.74,0.34,0.99,0.12,16.23
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.69,0.00,0.95,0.11,16.54
Circularity (Hu),0.91,0.33,1.00,0.09,10.33
Compactness,1.77,1.03,8.06,0.74,41.71
Diameter (ABD),13.39,5.02,24.14,3.08,22.99
Diameter (ESD),15.25,6.32,27.06,3.11,20.37
Elongation,3.13,1.00,23.28,2.45,78.40
Geodesic Aspect Ratio,0.46,0.04,1.00,0.27,59.17
Geodesic Length,23.22,6.96,56.53,7.70,33.17
Geodesic Thickness,9.21,1.61,16.43,3.04,33.06
Image Height,42.14,23.00,68.00,6.73,15.97
Image Width,41.52,21.00,63.00,6.77,16.30
Intensity,127.75,86.40,191.78,20.26,15.86
Length,17.77,6.98,32.27,3.63,20.40
Perimeter,64.85,27.84,127.45,14.21,21.91
Roughness,1.24,1.04,1.87,0.15,12.26
Sigma Intensity,36.20,9.52,58.82,9.38,25.91
Sum Intensity,84147.50,19259.00,2.42e+005,30028.99,35.69
Transparency,0.13,0.03,0.53,0.07,56.97
Volume (ABD),1437.93,66.31,7362.38,763.48,53.10
Width,12.29,3.41,21.58,3.01,24.48

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,10,1.39,0.11,454,0.07
7-8um,23,3.19,0.35,1044,0.24
8-9um,20,2.77,0.41,908,0.28
0-5um,0,0.00,0.00,0.00,0.00
5-10um,65,9.00,1.23,2951,0.84
10-15um,209,28.95,19.13,9487,13
15-20um,420,58.17,69.76,19066,48
20-25um,24,3.32,8.25,1089,5.62
25-30um,2,0.28,1.32,91,0.90
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,12,1.66,0.36,545,0.25
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

