List File,3.lst
Start Time,2017-05-01  15:01:36
Sampling Time,38 sec

Count,13
Particles / ml,792

Efficiency,8.7%
PPUI,1.00

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),106.06,43.60,158.85,36.39,34.31
Aspect Ratio,0.82,0.55,0.99,0.13,16.16
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.73,0.52,0.90,0.13,17.09
Circularity (Hu),0.94,0.80,0.99,0.06,6.32
Compactness,1.62,1.06,2.79,0.48,29.50
Diameter (ABD),11.44,7.45,14.22,2.11,18.42
Diameter (ESD),13.04,7.90,18.22,2.69,20.63
Elongation,2.65,1.00,6.62,1.64,61.76
Geodesic Aspect Ratio,0.53,0.15,1.00,0.31,58.46
Geodesic Length,19.63,8.05,38.52,8.34,42.47
Geodesic Thickness,8.37,5.82,12.46,2.36,28.19
Image Height,38.31,28.00,47.00,4.91,12.81
Image Width,37.31,26.00,51.00,6.77,18.16
Intensity,121.50,94.95,162.00,20.41,16.80
Length,14.76,8.49,20.77,3.08,20.87
Perimeter,55.99,32.21,88.67,14.68,26.23
Roughness,1.23,1.05,1.52,0.16,12.75
Sigma Intensity,37.32,28.51,52.32,7.98,21.38
Sum Intensity,61991.38,26639.00,1.09e+005,21543.42,34.75
Transparency,0.12,0.04,0.22,0.06,47.27
Volume (ABD),856.13,216.59,1506.02,413.51,48.30
Width,11.06,6.35,15.36,2.70,24.40

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,1,7.69,1.53,61,0.02
8-9um,0,0.00,0.00,0.00,0.00
0-5um,0,0.00,0.00,0.00,0.00
5-10um,1,7.69,1.53,61,0.02
10-15um,10,76.92,66.38,609,0.68
15-20um,2,15.38,32.08,122,0.33
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,0,0.00,0.00,0.00,0.00
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

