List File,8.lst
Start Time,2017-05-01  15:15:48
Sampling Time,38 sec

Count,22
Particles / ml,1326

Efficiency,8.7%
PPUI,1.05

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),102.34,20.83,201.86,42.25,41.29
Aspect Ratio,0.81,0.38,0.97,0.17,20.63
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.70,0.28,0.93,0.14,19.26
Circularity (Hu),0.89,0.32,1.00,0.15,16.89
Compactness,2.10,1.06,6.64,1.12,53.52
Diameter (ABD),11.12,5.15,16.03,2.65,23.81
Diameter (ESD),13.07,7.63,17.70,2.34,17.87
Elongation,4.30,1.00,18.80,3.62,84.33
Geodesic Aspect Ratio,0.33,0.05,1.00,0.20,59.84
Geodesic Length,22.92,9.86,39.43,6.07,26.50
Geodesic Thickness,6.78,1.59,10.50,2.33,34.40
Image Height,38.82,30.00,45.00,3.90,10.04
Image Width,36.86,25.00,50.00,5.69,15.44
Intensity,130.79,104.51,176.52,21.13,16.16
Length,14.85,9.60,20.83,2.66,17.91
Perimeter,59.41,38.06,88.35,11.35,19.11
Roughness,1.29,1.06,1.73,0.16,12.44
Sigma Intensity,40.64,25.82,51.52,8.26,20.34
Sum Intensity,63189.00,25121.00,1.25e+005,23739.16,37.57
Transparency,0.16,0.03,0.48,0.10,60.20
Volume (ABD),828.66,71.52,2157.38,472.28,56.99
Width,11.07,3.87,14.87,2.80,25.31

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,1,4.55,0.83,60,0.01
8-9um,1,4.55,1.30,60,0.02
0-5um,0,0.00,0.00,0.00,0.00
5-10um,2,9.09,2.14,121,0.04
10-15um,16,72.73,66.16,964,1.12
15-20um,4,18.18,31.70,241,0.53
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,0,0.00,0.00,0.00,0.00
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

