List File,11.lst
Start Time,2017-05-04  18:06:45
Sampling Time,37 sec

Count,290
Particles / ml,17825

Efficiency,8.7%
PPUI,1.66

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),109.74,19.81,222.81,33.01,30.08
Aspect Ratio,0.76,0.42,0.97,0.11,15.02
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.71,0.38,0.86,0.09,13.00
Circularity (Hu),0.91,0.50,0.98,0.07,7.19
Compactness,1.71,1.07,4.60,0.45,26.13
Diameter (ABD),11.67,5.02,16.84,1.87,16.01
Diameter (ESD),13.41,7.32,19.01,1.92,14.30
Elongation,2.96,1.00,12.38,1.55,52.36
Geodesic Aspect Ratio,0.43,0.08,1.00,0.23,52.29
Geodesic Length,20.96,7.42,38.45,5.57,26.57
Geodesic Thickness,8.01,1.97,14.10,2.23,27.83
Image Height,38.95,25.00,53.00,4.52,11.60
Image Width,38.21,26.00,58.00,4.34,11.35
Intensity,132.01,77.43,193.74,18.75,14.21
Length,15.41,9.44,24.23,2.12,13.73
Perimeter,57.94,29.67,88.35,9.56,16.51
Roughness,1.25,1.03,1.75,0.15,12.15
Sigma Intensity,42.70,17.10,56.22,6.87,16.09
Sum Intensity,70034.68,19124.00,1.62e+005,22823.38,32.59
Transparency,0.13,0.05,0.43,0.05,35.17
Volume (ABD),894.56,66.31,2501.88,390.50,43.65
Width,11.19,4.38,16.44,2.18,19.50

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,3,1.03,0.17,184,0.04
8-9um,5,1.72,0.41,307,0.10
0-5um,0,0.00,0.00,0.00,0.00
5-10um,17,5.86,1.64,1045,0.39
10-15um,221,76.21,69.83,13584,17
15-20um,52,17.93,28.53,3196,6.81
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,9,3.10,1.06,553,0.25
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

