List File,7.lst
Start Time,2017-05-12  10:42:29
Sampling Time,52 sec

Count,426
Particles / ml,19002

Efficiency,8.7%
PPUI,1.40

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),69.11,20.01,247.10,37.75,54.62
Aspect Ratio,0.77,0.37,0.99,0.12,16.02
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.65,0.20,0.90,0.12,18.26
Circularity (Hu),0.85,0.29,0.99,0.11,13.04
Compactness,2.31,1.03,10.99,1.08,46.79
Diameter (ABD),9.06,5.05,17.74,2.41,26.63
Diameter (ESD),11.19,6.00,20.87,2.51,22.43
Elongation,4.96,1.00,32.50,3.53,71.12
Geodesic Aspect Ratio,0.31,0.03,1.00,0.22,70.07
Geodesic Length,21.73,6.64,50.90,7.96,36.64
Geodesic Thickness,5.48,1.57,12.96,2.21,40.31
Image Height,35.15,21.00,53.00,5.17,14.71
Image Width,33.77,23.00,58.00,5.03,14.90
Intensity,159.39,88.80,195.79,20.20,12.68
Length,12.86,6.52,24.41,2.76,21.42
Perimeter,54.41,26.55,114.36,14.78,27.16
Roughness,1.41,1.04,2.25,0.25,17.71
Sigma Intensity,37.73,10.91,57.30,8.63,22.88
Sum Intensity,57358.66,17672.00,1.74e+005,26725.67,46.59
Transparency,0.19,0.06,0.50,0.08,39.05
Volume (ABD),477.37,67.34,2922.03,409.61,85.81
Width,9.18,2.75,16.26,2.51,27.28

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,9,2.11,0.38,401,0.06
7-8um,28,6.57,1.74,1249,0.28
8-9um,44,10.33,3.94,1963,0.64
0-5um,0,0.00,0.00,0.00,0.00
5-10um,147,34.51,14.14,6557,2.28
10-15um,246,57.75,64.75,10973,10
15-20um,30,7.04,19.50,1338,3.15
20-25um,1,0.23,1.32,45,0.21
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,63,14.79,7.84,2810,1.26
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

