List File,11.lst
Start Time,2017-05-08  13:10:44
Sampling Time,46 sec

Count,81
Particles / ml,4053

Efficiency,8.6%
PPUI,1.03

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),96.26,30.83,184.72,34.86,36.21
Aspect Ratio,0.79,0.53,0.98,0.10,12.74
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.73,0.55,0.86,0.08,10.83
Circularity (Hu),0.93,0.80,0.98,0.04,4.71
Compactness,1.67,1.15,2.75,0.32,19.48
Diameter (ABD),10.89,6.27,15.34,1.99,18.24
Diameter (ESD),12.55,7.68,17.14,2.03,16.16
Elongation,2.81,1.00,6.50,1.19,42.20
Geodesic Aspect Ratio,0.43,0.15,1.00,0.21,49.68
Geodesic Length,19.51,9.24,31.68,4.75,24.33
Geodesic Thickness,7.66,4.36,15.76,2.19,28.64
Image Height,37.60,27.00,49.00,4.98,13.23
Image Width,36.22,26.00,45.00,4.21,11.62
Intensity,144.30,106.41,177.77,16.10,11.16
Length,14.29,8.79,19.13,2.25,15.75
Perimeter,54.35,36.30,73.25,8.82,16.23
Roughness,1.26,1.06,1.81,0.15,12.13
Sigma Intensity,44.65,29.18,56.74,5.93,13.28
Sum Intensity,69278.19,22701.00,1.39e+005,25836.08,37.29
Transparency,0.13,0.06,0.26,0.04,30.54
Volume (ABD),744.36,128.76,1888.63,402.95,54.13
Width,10.52,6.25,14.64,2.07,19.72

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,1,1.23,0.26,50,0.01
8-9um,1,1.23,0.41,50,0.02
0-5um,0,0.00,0.00,0.00,0.00
5-10um,10,12.35,4.73,500,0.21
10-15um,61,75.31,72.24,3052,3.26
15-20um,10,12.35,23.02,500,1.04
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,8,9.88,4.06,400,0.18
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

