List File,16.lst
Start Time,2017-05-05  17:16:55
Sampling Time,59 sec

Count,268
Particles / ml,10572

Efficiency,8.7%
PPUI,1.31

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),116.75,33.69,280.71,37.69,32.28
Aspect Ratio,0.75,0.40,0.99,0.13,17.69
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.70,0.20,0.90,0.11,15.08
Circularity (Hu),0.91,0.63,0.99,0.07,7.45
Compactness,1.68,1.03,3.55,0.38,22.77
Diameter (ABD),12.04,6.55,18.91,1.92,15.98
Diameter (ESD),13.79,8.17,25.00,2.10,15.23
Elongation,2.85,1.00,9.04,1.35,47.24
Geodesic Aspect Ratio,0.44,0.11,1.00,0.23,51.43
Geodesic Length,21.26,8.33,50.38,6.05,28.45
Geodesic Thickness,8.23,2.80,14.66,2.14,25.94
Image Height,39.12,27.00,71.00,5.16,13.20
Image Width,39.18,26.00,54.00,4.74,12.11
Intensity,129.49,81.53,185.90,20.22,15.62
Length,15.91,8.80,33.00,2.52,15.81
Perimeter,58.98,33.31,115.02,10.75,18.23
Roughness,1.22,1.04,1.72,0.12,9.70
Sigma Intensity,40.96,22.47,54.19,7.86,19.18
Sum Intensity,73229.14,23804.00,1.61e+005,28098.66,38.37
Transparency,0.13,0.05,0.32,0.04,30.08
Volume (ABD),984.94,147.09,3538.01,488.77,49.62
Width,11.28,6.01,16.85,2.30,20.40

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,0,0.00,0.00,0.00,0.00
8-9um,3,1.12,0.24,118,0.04
0-5um,0,0.00,0.00,0.00,0.00
5-10um,9,3.36,0.96,355,0.15
10-15um,194,72.39,59.71,7653,9.27
15-20um,64,23.88,37.25,2525,5.79
20-25um,0,0.00,0.00,0.00,0.00
25-30um,1,0.37,2.08,39,0.32
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,6,2.24,0.72,237,0.11
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

