List File,15.lst
Start Time,2017-05-05  17:19:14
Sampling Time,59 sec

Count,308
Particles / ml,12098

Efficiency,8.6%
PPUI,1.33

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),108.27,19.81,254.88,37.81,34.92
Aspect Ratio,0.74,0.43,0.96,0.12,16.70
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.71,0.41,0.91,0.10,13.80
Circularity (Hu),0.91,0.44,0.99,0.08,8.44
Compactness,1.64,1.03,7.68,0.49,30.19
Diameter (ABD),11.55,5.02,18.01,2.12,18.35
Diameter (ESD),13.22,7.55,19.84,2.17,16.42
Elongation,2.71,1.00,22.08,1.67,61.43
Geodesic Aspect Ratio,0.46,0.05,1.00,0.22,47.21
Geodesic Length,19.87,8.10,37.73,5.37,27.01
Geodesic Thickness,8.17,1.56,16.14,2.10,25.66
Image Height,38.72,26.00,51.00,4.73,12.21
Image Width,37.75,22.00,57.00,5.15,13.63
Intensity,130.19,83.57,181.07,18.64,14.32
Length,15.27,8.39,24.19,2.35,15.42
Perimeter,56.08,32.40,88.35,10.04,17.91
Roughness,1.21,1.04,1.81,0.12,9.70
Sigma Intensity,41.13,20.42,57.08,7.78,18.91
Sum Intensity,68760.23,20872.00,1.74e+005,26549.91,38.61
Transparency,0.13,0.04,0.45,0.05,36.74
Volume (ABD),886.20,66.31,3061.00,455.07,51.35
Width,10.84,4.70,16.53,2.50,23.06

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,5,1.62,0.30,196,0.05
8-9um,9,2.92,0.69,354,0.11
0-5um,0,0.00,0.00,0.00,0.00
5-10um,22,7.14,1.90,864,0.30
10-15um,223,72.40,63.60,8760,10
15-20um,63,20.45,34.51,2475,5.45
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,8,2.60,0.91,314,0.14
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

