List File,7.lst
Start Time,2017-05-05  16:58:14
Sampling Time,59 sec

Count,501
Particles / ml,19515

Efficiency,8.7%
PPUI,1.63

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),111.10,19.60,236.67,41.83,37.65
Aspect Ratio,0.76,0.33,0.99,0.11,14.86
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.71,0.34,0.93,0.10,13.83
Circularity (Hu),0.91,0.50,1.00,0.08,8.91
Compactness,1.74,1.00,7.16,0.61,35.14
Diameter (ABD),11.66,5.00,17.36,2.35,20.12
Diameter (ESD),13.41,5.41,18.97,2.24,16.70
Elongation,3.05,1.00,20.45,2.04,66.87
Geodesic Aspect Ratio,0.42,0.05,1.00,0.20,47.17
Geodesic Length,20.93,5.97,40.13,5.14,24.57
Geodesic Thickness,8.01,1.67,17.45,2.43,30.33
Image Height,38.94,21.00,54.00,5.12,13.16
Image Width,38.06,24.00,51.00,4.94,12.97
Intensity,141.26,85.09,194.10,19.08,13.51
Length,15.44,5.58,22.59,2.42,15.70
Perimeter,57.87,23.88,93.28,9.74,16.83
Roughness,1.26,1.05,2.13,0.16,12.75
Sigma Intensity,43.86,20.23,61.75,6.96,15.87
Sum Intensity,75994.33,16706.00,1.67e+005,29951.17,39.41
Transparency,0.13,0.05,0.47,0.06,43.28
Volume (ABD),928.16,65.29,2738.97,504.27,54.33
Width,11.15,3.45,16.69,2.43,21.78

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,1,0.20,0.01,39,0.00
6-7um,2,0.40,0.05,78,0.01
7-8um,4,0.80,0.14,156,0.04
8-9um,12,2.40,0.57,467,0.15
0-5um,0,0.00,0.00,0.00,0.00
5-10um,39,7.78,2.11,1519,0.56
10-15um,347,69.26,60.02,13516,16
15-20um,115,22.95,37.86,4479,10
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,20,3.99,1.35,779,0.36
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

