List File,9.lst
Start Time,2017-05-06  17:29:21
Sampling Time,55 sec

Count,520
Particles / ml,21706

Efficiency,8.7%
PPUI,1.54

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),100.56,20.22,312.39,36.55,36.35
Aspect Ratio,0.75,0.30,0.97,0.12,16.13
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.70,0.00,0.90,0.10,14.96
Circularity (Hu),0.90,0.42,0.99,0.08,9.05
Compactness,1.72,1.06,5.28,0.54,31.41
Diameter (ABD),11.13,5.07,19.94,2.05,18.42
Diameter (ESD),12.87,7.25,27.04,2.02,15.72
Elongation,3.00,1.00,14.52,1.83,61.11
Geodesic Aspect Ratio,0.43,0.07,1.00,0.21,49.27
Geodesic Length,20.08,7.42,62.31,5.28,26.29
Geodesic Thickness,7.73,1.82,16.46,2.29,29.65
Image Height,37.89,25.00,52.00,4.60,12.13
Image Width,37.17,21.00,77.00,4.83,12.99
Intensity,139.24,79.54,185.39,18.06,12.97
Length,14.89,8.34,35.66,2.30,15.43
Perimeter,55.63,29.67,137.40,9.56,17.19
Roughness,1.25,1.04,1.83,0.14,11.52
Sigma Intensity,43.73,15.81,59.32,6.68,15.26
Sum Intensity,69055.69,20840.00,1.74e+005,26157.75,37.88
Transparency,0.14,0.05,0.43,0.05,38.97
Volume (ABD),795.37,68.37,4153.39,442.20,55.60
Width,10.57,3.52,18.62,2.21,20.88

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,3,0.58,0.11,125,0.03
8-9um,13,2.50,0.69,543,0.18
0-5um,0,0.00,0.00,0.00,0.00
5-10um,41,7.88,2.59,1711,0.68
10-15um,414,79.62,73.53,17281,19
15-20um,62,11.92,21.46,2588,5.59
20-25um,1,0.19,0.68,42,0.18
25-30um,1,0.19,1.66,42,0.43
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,25,4.81,1.79,1044,0.47
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

