List File,16.lst
Start Time,2017-05-02  16:58:32
Sampling Time,49 sec

Count,41
Particles / ml,1934

Efficiency,8.7%
PPUI,1.00

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),112.52,23.12,219.09,41.10,36.52
Aspect Ratio,0.74,0.24,0.94,0.14,18.68
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.70,0.03,0.85,0.13,19.14
Circularity (Hu),0.90,0.27,0.98,0.13,13.99
Compactness,1.86,1.11,10.68,1.46,78.44
Diameter (ABD),11.73,5.43,16.70,2.42,20.62
Diameter (ESD),13.54,6.99,18.36,2.51,18.53
Elongation,3.45,1.00,31.54,4.68,135.90
Geodesic Aspect Ratio,0.44,0.03,1.00,0.22,51.47
Geodesic Length,21.17,10.38,56.71,7.70,36.37
Geodesic Thickness,8.12,1.80,13.20,2.55,31.44
Image Height,39.49,25.00,58.00,6.41,16.24
Image Width,38.22,26.00,48.00,5.10,13.35
Intensity,131.94,103.57,181.07,19.07,14.45
Length,15.90,8.49,26.28,3.33,20.95
Perimeter,58.58,31.29,117.02,13.82,23.59
Roughness,1.24,1.05,1.84,0.14,11.35
Sigma Intensity,39.44,23.31,53.41,8.96,22.72
Sum Intensity,69502.44,28590.00,1.40e+005,23179.88,33.35
Transparency,0.13,0.05,0.51,0.08,58.82
Volume (ABD),943.54,83.61,2439.43,483.00,51.19
Width,10.84,4.58,15.20,2.38,21.99

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,1,2.44,0.31,47,0.01
7-8um,0,0.00,0.00,0.00,0.00
8-9um,3,7.32,1.54,141,0.04
0-5um,0,0.00,0.00,0.00,0.00
5-10um,4,9.76,1.84,189,0.05
10-15um,28,68.29,60.45,1321,1.67
15-20um,9,21.95,37.71,424,1.04
20-25um,0,0.00,0.00,0.00,0.00
25-30um,0,0.00,0.00,0.00,0.00
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,0,0.00,0.00,0.00,0.00
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

