List File,10.lst
Start Time,2017-05-02  16:52:23
Sampling Time,51 sec

Count,65
Particles / ml,2937

Efficiency,8.5%
PPUI,1.08

Summary Stats,Mean,Min,Max,StdDev,% CV
Area (ABD),134.63,22.70,367.21,68.72,51.04
Aspect Ratio,0.72,0.31,0.97,0.14,19.15
Ch1 Peak,0.00,0.00,0.00,0.00,0.00
Circle Fit,0.66,0.32,0.85,0.13,20.07
Circularity (Hu),0.88,0.45,0.98,0.11,12.59
Compactness,1.94,1.08,4.68,0.77,39.86
Diameter (ABD),12.66,5.38,21.62,3.36,26.52
Diameter (ESD),14.77,8.05,27.38,3.51,23.77
Elongation,3.73,1.00,12.62,2.57,68.99
Geodesic Aspect Ratio,0.38,0.08,1.00,0.21,55.38
Geodesic Length,24.62,9.39,62.48,9.47,38.48
Geodesic Thickness,8.02,1.98,14.50,2.67,33.32
Image Height,41.60,29.00,63.00,7.18,17.27
Image Width,40.31,28.00,68.00,7.34,18.22
Intensity,135.60,95.39,182.69,19.87,14.65
Length,17.27,9.11,34.10,4.21,24.35
Perimeter,65.28,37.54,139.66,18.45,28.27
Roughness,1.31,1.05,1.96,0.19,14.66
Sigma Intensity,41.60,23.34,58.39,8.43,20.25
Sum Intensity,84926.55,26553.00,2.02e+005,42700.31,50.28
Transparency,0.15,0.06,0.44,0.08,51.41
Volume (ABD),1284.49,81.35,5293.33,1002.06,78.01
Width,11.81,3.63,18.78,3.23,27.36

Filter,Count,Count %,Volume %,P/ML,PPM
2-3um,0,0.00,0.00,0.00,0.00
3-4um,0,0.00,0.00,0.00,0.00
4-5um,0,0.00,0.00,0.00,0.00
5-6um,0,0.00,0.00,0.00,0.00
6-7um,0,0.00,0.00,0.00,0.00
7-8um,0,0.00,0.00,0.00,0.00
8-9um,3,4.62,0.65,136,0.04
0-5um,0,0.00,0.00,0.00,0.00
5-10um,7,10.77,2.00,316,0.12
10-15um,28,43.08,27.91,1265,1.63
15-20um,26,40.00,48.57,1175,2.83
20-25um,3,4.62,13.18,136,0.77
25-30um,1,1.54,8.34,45,0.49
30-35um,0,0.00,0.00,0.00,0.00
35-40um,0,0.00,0.00,0.00,0.00
40-45um,0,0.00,0.00,0.00,0.00
45-50um,0,0.00,0.00,0.00,0.00
50-55um,0,0.00,0.00,0.00,0.00
55-60um,0,0.00,0.00,0.00,0.00
60-65um,0,0.00,0.00,0.00,0.00
65-70um,0,0.00,0.00,0.00,0.00
75-80um,0,0.00,0.00,0.00,0.00
80-85um,0,0.00,0.00,0.00,0.00
85-90um,0,0.00,0.00,0.00,0.00
90-95um,0,0.00,0.00,0.00,0.00
95-100um,0,0.00,0.00,0.00,0.00
9-10um,4,6.15,1.35,181,0.08
1-2um,0,0.00,0.00,0.00,0.00
0-1um,0,0.00,0.00,0.00,0.00

